mfc,I_coil,n_e,n_g,n_i,Te,Tg,total_pressure,neutral_pressure,R_ind,Pd,P_RF,J_i,Thrust_i,Thrust_g,Total_Thrust,Ions_Power,Neutrals_Power,Total_Power,gamma,zeta,eta_mass,eta_thruster,IONIZATION,E_IONIZATION,ELASTIC,E_ELASTIC,EXCITATION1,E_EXCITATION1,EXCITATION2,E_EXCITATION2,EXCITATION3,E_EXCITATION3,hL,hR,A_eff_loss,A_eff_wall,A_eff_open,A_n
200,14.0,1.5560148822684513e+18,1.7112561388382542e+20,1.5560148822684513e+18,2.976828373630986,0.051678632362975756,2.160307863378601,1.4168909445276732,5.840031689655389,572.3231055862282,964.3231055862282,156.32706565117869,0.03561364782758245,0.003060484440179774,0.03867413226776223,1237.6122217376205,0.862718022663302,2202.798045346512,0.5622280909394329,0.7448989903141692,0.08625097044903153,0.048492718457232444,1.7867537503959374e-16,15.7,9.340913122025697e-14,0.00012156543310195936,1.4466221177097312e-16,11.55,1.598302499673545e-16,13.0,5.294534480398881e-17,14.0,0.2338568039773638,0.20177636766564166,0.012896506136961331,0.0110451054371958,0.0018514006997655316,0.05692565888304705
190,14.0,1.5002821124745267e+18,1.6375070715745832e+20,1.5002821124745267e+18,3.0146357449986754,0.05052233841687161,2.051369033633256,1.325491727131055,5.770662893387565,565.5249635519814,957.5249635519814,154.90710634909263,0.035290159823100666,0.0028630621306030783,0.03815322195370374,1226.3706687838087,0.7979867558634667,2184.6936190916535,0.5617120152755797,0.742621700691469,0.08996582158260337,0.05053488294708738,1.916523177254123e-16,15.7,9.481900541506621e-14,0.0001231229072706813,1.5219577945509942e-16,11.55,1.6932967678583174e-16,13.0,5.631948549668958e-17,14.0,0.23882922353599564,0.20561611983192185,0.013153734863970567,0.011262968445980006,0.0018907664179905607,0.05692565888304705
180,14.0,1.4430498902411538e+18,1.562206004360174e+20,1.4430498902411535e+18,3.0569695902547083,0.04937697344691819,1.943845533923894,1.2358710605987981,5.6995312186522975,558.5540594279252,950.5540594279252,153.38158274463598,0.03494262268885283,0.0026694814908934036,0.03761210417974623,1214.293382937239,0.7355502309901127,2165.5829925961543,0.5610632043760292,0.7402439261295607,0.09402871903798996,0.052756054406827985,2.0652395562484677e-16,15.7,9.639309221194565e-14,0.00012486684947199704,1.6073073713990444e-16,11.55,1.8013396743502516e-16,13.0,6.016717290580351e-17,14.0,0.2441477848512691,0.20971762032456756,0.01342866081248851,0.01149578833654551,0.0019328724759430003,0.05692565888304705
170,14.0,1.3852890454226092e+18,1.4864081892041543e+20,1.385289045422609e+18,3.093427199957023,0.04818795430551556,1.8353186952979168,1.1475905753914513,5.602472918845307,549.0423460468401,941.0423460468401,151.4959124129615,0.0345130387340115,0.002478795642845534,0.03699183437685703,1199.3648826233152,0.6747348748904918,2141.0819635450457,0.5604828016538276,0.7369277047942753,0.09833583357656808,0.05511554350595941,2.230302260014488e-16,15.7,9.76989651152101e-14,0.00012636872022657347,1.691594836916255e-16,11.55,1.9125580092588594e-16,13.0,6.423543764093045e-17,14.0,0.24971638768605023,0.2140181592001369,0.013716746137190958,0.011739788071221557,0.0019769580659693997,0.05692565888304705
160,14.5,1.3790004542222866e+18,1.3912231128555754e+20,1.3790004542222866e+18,3.1464490120142954,0.04768635960981751,1.7592426749550225,1.0629218810012282,5.3586840960077975,563.3316655928197,983.8316655928197,156.61079895671872,0.03567828652580383,0.002295911262962653,0.037974197788766484,1239.858485397644,0.6216921338250259,2224.3118431242888,0.557691666016164,0.7282122762838764,0.10800939473075592,0.06023593929279276,2.4703597878724227e-16,15.7,9.959815017459638e-14,0.0001285529530803913,1.814177589650963e-16,11.55,2.0743074409686558e-16,13.0,7.015208357428776e-17,14.0,0.2571304000039785,0.21973310085304223,0.014099895369488219,0.012064241950807117,0.0020356534186811016,0.05692565888304705
150,14.5,1.3146074337546386e+18,1.3124991991237126e+20,1.3146074337546388e+18,3.197796423130325,0.04650921832317334,1.6526424354921303,0.9780216782959459,5.264623705186327,553.4435670077127,973.9435670077127,154.32800979753043,0.03515823295196294,0.0021125268251192424,0.03727075977708218,1221.786069394099,0.5649303948156884,2196.2945667966274,0.5565514836981802,0.7246932420502153,0.11353069759701614,0.06318567819290875,2.7028364252439366e-16,15.7,1.0143735996856555e-13,0.0001306682090093471,1.9328892435190871e-16,11.55,2.230948910687115e-16,13.0,7.588188494056176e-17,14.0,0.26365119514535634,0.22474998690319858,0.014436524429001398,0.01234924709139877,0.0020872773376026275,0.05692565888304705
140,14.5,1.2479063876633856e+18,1.2317665400181052e+20,1.2479063876633859e+18,3.259276988695155,0.045360769372273596,1.547882030597267,0.8951982169003243,5.171337174859756,543.6368205071319,964.1368205071319,151.87696209075233,0.03459984755993762,0.0019336281485047002,0.03653347570844232,1202.3815818516844,0.5106653075130819,2167.0290676663294,0.5550881919893167,0.7211119835487149,0.11970813805029483,0.06644857391674568,2.9811911628160656e-16,15.7,1.0363952860507349e-13,0.0001332009001032115,2.075028047799917e-16,11.55,2.4185027900333447e-16,13.0,8.274243391306276e-17,14.0,0.27074206521707544,0.23019602839615516,0.014802227058685492,0.012658812625264186,0.002143414433421306,0.05692565888304705
130,15.0,1.2251054059202867e+18,1.1352513902289381e+20,1.2251054059202865e+18,3.3297388317727705,0.04474969877908481,1.4685291745588476,0.8139403010588638,4.920787654585483,553.5886111408669,1003.5886111408669,155.72062125074828,0.035475490706715566,0.001758111050287146,0.037233601757002716,1232.8111145291493,0.4611737197396931,2236.860899389756,0.5513406258678586,0.7110155520123687,0.13217903754301877,0.07287567328557915,3.3720792035261105e-16,15.7,1.0606847109746543e-13,0.00013610357480668667,2.2556936778465873e-16,11.55,2.665305160440718e-16,13.0,9.198974494812628e-17,14.0,0.279752556956694,0.2371184647694042,0.015267009283258998,0.01305226046730856,0.0022147488159504373,0.05692565888304705
120,15.0,1.1517024655333811e+18,1.0524646323335163e+20,1.151702465533381e+18,3.39937822983581,0.0435636249583026,1.3628036176116898,0.7345847611191095,4.798807763884713,539.8658734370302,989.8658734370302,152.29835572667287,0.03469584734400539,0.0015867030840172765,0.03628255042802266,1205.7176766718956,0.4106585412795083,2195.994208650205,0.5492402167829653,0.7058307765923305,0.14004698977855587,0.07691943902577575,3.778060661619708e-16,15.7,1.0844310101419011e-13,0.00013897236889855134,2.439108501679836e-16,11.55,2.917937518351888e-16,13.0,1.0150778267366063e-16,14.0,0.2880458697493674,0.2434802726295763,0.015694434105216166,0.0134140286786964,0.0022804054265197675,0.05692565888304705
110,15.5,1.1140672892848845e+18,9.543514613687992e+19,1.1140672892848845e+18,3.5019494063774137,0.04293093403141699,1.2824292569233366,0.6564309871543371,4.561622315189609,547.9648806121518,1028.4648806121518,155.03539220193264,0.0353193852625041,0.0014178909322533685,0.036737276194757466,1227.3862839537696,0.36429329910368186,2256.215457865025,0.5441637113924612,0.695197330183091,0.15552420032917036,0.08463062606246598,4.376026712001715e-16,15.7,1.1194066979255399e-13,0.0001431977871738758,2.709258370848968e-16,11.55,3.29003720479621e-16,13.0,1.1552680574148895e-16,14.0,0.29865581450591727,0.25160235065974385,0.016240620529689283,0.013876218149424045,0.0023644023802652375,0.05692565888304705
