mfc,I_coil,n_e,n_g,n_i,Te,Tg,total_pressure,neutral_pressure,R_ind,Pd,P_RF,J_i,Thrust_i,Thrust_g,Total_Thrust,Ions_Power,Neutrals_Power,Total_Power,gamma,zeta,eta_mass,eta_thruster,IONIZATION,E_IONIZATION,ELASTIC,E_ELASTIC,EXCITATION1,E_EXCITATION1,EXCITATION2,E_EXCITATION2,EXCITATION3,E_EXCITATION3,EXCITATION4,E_EXCITATION4,hL,hR,A_eff_loss,A_eff_wall,A_eff_open,A_n,E_cost
29,1.5,2.6600863287239e+16,5.457462383849323e+19,2.6600863287239004e+16,3.2065787902530576,0.026252257239085895,0.24323324698699594,0.22954497808821223,8.151785315922464,9.170758480412772,13.670758480412772,2.8958442840018273,0.0009555028299479481,0.0004958171526705384,0.0014513199826184865,22.925859083971538,0.06877863823647265,36.665396202620784,0.6271482134035795,0.8029903176869668,0.011018868930188429,0.006910463963295885,5.938727193641867e-16,13.996,1.3526279031344305e-13,6.246746271270925e-05,4.767934054731778e-16,9.915,1.9065530320828706e-16,11.3,3.337347014007531e-16,11.998,1.8242724813882014e-16,12.75,0.35362216899394405,0.29385613921764836,0.0190768604775977,0.016277299720787883,0.0027995607568098145,0.05692565888304705,36.243036228303865
29,2.0,4.986399586713877e+16,5.36811902132555e+19,4.986399586713877e+16,3.2219146858129446,0.02659958257170933,0.25455588987328936,0.2287743612306593,8.650057953753281,17.300115907506562,25.300115907506562,5.465172783071179,0.0018032696333943215,0.0004941526202582242,0.0022974222536525455,43.266753598056155,0.06899970175027807,68.635869207313,0.6313863844123812,0.8122075946736832,0.02079532484194045,0.013129884964633751,6.077101981509122e-16,13.996,1.3585023235858416e-13,6.276865000327586e-05,4.842617457432188e-16,9.915,1.9387126856242751e-16,11.3,3.398422578511455e-16,11.998,1.8652484252731156e-16,12.75,0.355173674376377,0.29502656206780187,0.01915607860449181,0.016344234868945127,0.0028118437355466844,0.05692565888304705,36.124672081920906
29,2.5,7.391753259812194e+16,5.276656429550716e+19,7.391753259812192e+16,3.2382615297247113,0.02695642043432555,0.2663049246449473,0.22789323464172812,8.26164517386188,25.817641168318374,38.317641168318374,8.15871843026837,0.0026920227002319684,0.0004922493868261328,0.0031842720870581013,64.59105210576168,0.06919345153866331,102.97788672561872,0.6279041803371388,0.805099478093987,0.03104443478473414,0.01949293037753825,6.224598490582017e-16,13.996,1.364763988176365e-13,6.308969168016221e-05,4.922224019825354e-16,9.915,1.9729923163536921e-16,11.3,3.4635242685868695e-16,11.998,1.9089255197217777e-16,12.75,0.3567791700767267,0.2962373238041716,0.019238038703789172,0.016413484558228567,0.0028245541455606082,0.05692565888304705,36.00429966617073
29,3.0,9.867376410527678e+16,5.183385399494676e+19,9.867376410527678e+16,3.2556616066204276,0.027321639715016614,0.2784494904155605,0.22689799325703322,7.713013295352943,34.708559829088244,52.708559829088244,10.971104890325922,0.0036199880733488975,0.0004900996654351917,0.00411008773878409,86.85619116353163,0.06935639101574187,139.63410738363564,0.622523745690049,0.7940906761697862,0.041745741466040216,0.025987715344047754,6.381598252344637e-16,13.996,1.371429094049913e-13,6.34314181868019e-05,5.006959661428176e-16,9.915,2.0094805959181206e-16,11.3,3.532820483774801e-16,11.998,1.95541674494484e-16,12.75,0.3584346695450723,0.2974853749466328,0.01932253563916269,0.016484875213083283,0.0028376604260794045,0.05692565888304705,35.8822852088811
29,3.5,1.240151268067111e+17,5.088705033743623e+19,1.2401512680671114e+17,3.2740957279270497,0.027693742784763636,0.2909444144695253,0.22578720407324435,7.174931305855392,43.946454248364276,68.44645424836428,13.893252365561558,0.004584169813899675,0.00048770036079820775,0.005071870174697883,109.99028770661536,0.06948524678440211,178.50622720176403,0.6165598516011441,0.7820147166961773,0.052864695686812894,0.032594248927601,6.547928129550835e-16,13.996,1.378490291016503e-13,6.379345267175496e-05,5.096730936903713e-16,9.915,2.0481372855288547e-16,11.3,3.606234805132116e-16,11.998,2.0046708310383562e-16,12.75,0.3601343474686055,0.29876630208224303,0.019409271263392782,0.016558154804204715,0.002851116459188067,0.05692565888304705,35.75940271825279
29,4.0,1.4984882973029146e+17,4.993461572988284e+19,1.4984882973029142e+17,3.2893544038419233,0.028068050493432216,0.30365234492243454,0.22455584041549678,6.677577255322041,53.42061804257633,85.42061804257634,16.90697054559385,0.005578565909572,0.0004850406152974732,0.0060636065248694734,133.84933244045158,0.06957175053423291,219.33952223356215,0.61055528354978,0.7695209225854622,0.06433208217639697,0.03927829267455779,6.718687228537361e-16,13.996,1.3838436034007764e-13,6.409312341732624e-05,5.177908607081351e-16,9.915,2.083509531153947e-16,11.3,3.675118323736583e-16,11.998,2.0545484036292193e-16,12.75,0.3618579128226426,0.3000664104082142,0.019497270322412108,0.016632508717783392,0.0028647616046287134,0.05692565888304705,35.60322450646342
29,4.5,1.7602965546643245e+17,4.897768890232404e+19,1.7602965546643245e+17,3.305283851320044,0.02844496336062815,0.31657531524903826,0.2232102124172934,6.236601853262106,63.14559376427882,103.64559376427883,20.005302629992066,0.0066008809183990234,0.0004821340588213537,0.007083014977220377,158.37824967356357,0.06961762472592764,262.09346106256834,0.6045471972323033,0.7571814158762695,0.07612142987329817,0.046018997079217736,6.898010600086544e-16,13.996,1.389416531799121e-13,6.44059676922121e-05,5.262874513120593e-16,9.915,2.1205446347146884e-16,11.3,3.7472894389220615e-16,11.998,2.1069098033984626e-16,12.75,0.3636100456050744,0.3013875993384892,0.01958671028149767,0.016708077368425903,0.0028786329130717652,0.05692565888304705,35.44662430746736
29,5.0,2.0244209828071014e+17,4.801952099159818e+19,2.0244209828071008e+17,3.3219863551008086,0.02882323941629986,0.32966961804617695,0.22175376718753695,5.847334930477039,73.09168663096298,123.09168663096298,23.17769002729855,0.007647630963822267,0.00047898813712507975,0.008126619100947346,183.4934490066952,0.0696217366992267,306.6547573743574,0.5985984770466308,0.7451364039232591,0.08819256267550644,0.05279193370439769,7.086036537294571e-16,13.996,1.3952599144883904e-13,6.47339943040107e-05,5.351963815734871e-16,9.915,2.159377052354655e-16,11.3,3.8229630193085214e-16,11.998,2.161812302610262e-16,12.75,0.3653855478772159,0.30272588557812863,0.019677323399364947,0.016784634165958812,0.0028926892334061364,0.05692565888304705,35.29093663973898
29,5.5,2.289806870401739e+17,4.7062953411952026e+19,2.289806870401739e+17,3.339463066350744,0.02920178187059025,0.34289462113669344,0.2201906755763724,5.502840114115125,83.23045672599127,143.73045672599127,26.41403284441277,0.008715483519817092,0.0004756118592449644,0.009191095379062056,209.1149714699304,0.0695834650751596,352.9150116609968,0.5927335138011758,0.7334342769430217,0.10050704985699878,0.05957389682352885,7.282777999246374e-16,13.996,1.401374154205004e-13,6.507722586090465e-05,5.445182655118756e-16,9.915,2.20000946047374e-16,11.3,3.902144280454889e-16,11.998,2.2192596852433635e-16,12.75,0.36717956631687293,0.30407759342001256,0.0197688613255584,0.016861969182773176,0.0029068921427852228,0.05692565888304705,35.136639054017365
29,6.0,2.5555071873421968e+17,4.611034287934265e+19,2.5555071873421968e+17,3.3577204990716782,0.02957969466093724,0.35621521922817984,0.2185256557044923,5.196473343419412,93.53652018154942,165.5365201815494,29.705069165040673,0.009801382556306673,0.0004720154163217035,0.010273397972628377,235.16949219943652,0.06950270811197204,400.7755150890979,0.5869594974015606,0.7220860962642436,0.11302964924600155,0.06634382611290775,7.488308316342884e-16,13.996,1.4077615298770797e-13,6.543579029377046e-05,5.542565776235504e-16,9.915,2.2424570037737694e-16,11.3,3.9848627351723867e-16,11.998,2.279273363355801e-16,12.75,0.36898792782594936,0.30543956454819055,0.019861110601116658,0.016939901997546924,0.0029212086035697348,0.05692565888304705,34.98410781473796
