mfc,I_coil,n_e,n_g,n_i,Te,Tg,total_pressure,neutral_pressure,R_ind,Pd,P_RF,J_i,Thrust_i,Thrust_g,Total_Thrust,Ions_Power,Neutrals_Power,Total_Power,gamma,zeta,eta_mass,eta_thruster,IONIZATION,E_IONIZATION,ELASTIC,E_ELASTIC,EXCITATION1,E_EXCITATION1,EXCITATION2,E_EXCITATION2,EXCITATION3,E_EXCITATION3,EXCITATION4,E_EXCITATION4,hL,hR,A_eff_loss,A_eff_wall,A_eff_open,A_n,E_cost
200,10.5,7.723298733965902e+18,2.0458590463851715e+20,7.723298733965902e+18,2.1561007629800995,0.07139733991873948,5.014664944679953,2.3402816853744612,20.07198306655075,1106.4680665436101,1326.9680665436101,528.7482715532151,0.21837580042375,0.005055008440408837,0.22343080886415884,4186.001447484901,0.9238741685208824,5513.893388197032,0.7593410004291885,0.9093873897071385,0.291728443534365,0.22152136816703474,1.767441247126264e-16,12.13,1.7546283828540775e-13,2.670237574264619e-05,2.057995184756157e-16,8.315,1.9517753964879136e-16,9.447,3.012520720346511e-16,9.917,2.7815861694838764e-17,11.7,0.33946213995661234,0.18285800177076242,0.009746527986476149,0.007059069538526049,0.0026874584479501,0.030536280592892786,50.988590657828425
190,10.5,7.447508373187975e+18,1.9416508810590382e+20,7.447508373187976e+18,2.1788014840363714,0.06942236311100466,4.765608884387173,2.1596378518656283,19.604820464270297,1080.7157280929002,1301.2157280929002,520.4824581134969,0.2149619762598441,0.004664817760029757,0.21962679401987384,4120.562544163932,0.8406869423157677,5422.618959199148,0.760039247108546,0.9074280666526451,0.30228201318272174,0.2297461937138514,1.9050264769954757e-16,12.13,1.7713087798304356e-13,2.6986926164055576e-05,2.158629598227755e-16,8.315,2.056442017230299e-16,9.447,3.186574243004435e-16,9.917,3.002371729313288e-17,11.7,0.3447196258704922,0.1875030767616927,0.009917984076645374,0.007188903093304314,0.0027290809833410597,0.030536280592892786,50.18209293024545
180,10.5,7.160398508537982e+18,1.835716475161797e+20,7.160398508537982e+18,2.205067609568694,0.0674670323687583,4.5199422437426255,1.9843012542652423,19.128069960963305,1054.4348565981022,1274.9348565981022,511.512895000173,0.21125749980156724,0.004286090709212923,0.21554359051078018,4049.5521859354567,0.7614775176492995,5325.248520051208,0.7605867873024934,0.9053392002347945,0.3135767764788055,0.23850235299468675,2.06422102020756e-16,12.13,1.7906090214317457e-13,2.7316168441007352e-05,2.275069782245008e-16,8.315,2.1775477121837158e-16,9.447,3.38796483602319e-16,9.917,3.257834153428717e-17,11.7,0.3502580957802711,0.19250597054862967,0.010099842710310171,0.007326914693689774,0.0027729280166203974,0.030536280592892786,49.383090130333095
170,10.5,6.861257042976641e+18,1.727978308606378e+20,6.861257042976641e+18,2.2357905543138443,0.06553794065035679,4.277917786962301,1.8144352348687856,18.642074807664635,1027.644373772513,1248.144373772513,501.78289880638357,0.2072389605055481,0.003919180107316577,0.21115814061286467,3972.5216208395555,0.6862645117223128,5221.352259123791,0.7609538081650198,0.903110514876277,0.3257067391632858,0.24784778351131312,2.2504275906747456e-16,12.13,1.813184115560319e-13,2.770127633482707e-05,2.4112674614678143e-16,8.315,2.319202543224489e-16,9.447,3.62352725477027e-16,9.917,3.556643276643418e-17,11.7,0.3561035901020668,0.19791388069822535,0.01029322669970952,0.007474020994803876,0.002819205704905642,0.030536280592892786,48.59195422025271
160,10.5,6.54930825913897e+18,1.618347811424103e+20,6.549308259138969e+18,2.2721628485231267,0.06364334224493799,4.039840572142446,1.650194887247024,18.1473809431051,1000.3743744886688,1220.8743744886688,491.2322037441818,0.20288146828629774,0.0035644209564535717,0.2064458892427513,3888.9937358734037,0.6150570506443909,5110.483167412716,0.761103924131158,0.9007315141532356,0.33878693775981295,0.25785206777337205,2.4708739125008127e-16,12.13,1.839910328566848e-13,2.8157198048468753e-05,2.5725092337134684e-16,8.315,2.48690493091942e-16,9.447,3.9024050013662037e-16,9.917,3.910397561336402e-17,11.7,0.36228588590301997,0.20378329897773317,0.010499448493069682,0.007631298705386145,0.0028681497876835377,0.030536280592892786,47.80948985984792
150,10.5,6.225508860925823e+18,1.506979719334618e+20,6.225508860925825e+18,2.314235436122366,0.06178052546718132,3.8051242256537496,1.4916584726254156,17.631950489452798,971.9612707310855,1192.4612707310855,479.74829523465837,0.1981385540345054,0.003221982300870897,0.2013605363353763,3798.0777741012034,0.5477707941514961,4991.0868156264405,0.7610818415344639,0.8981252524513805,0.3529246486132137,0.2686045414894483,2.7340446991885387e-16,12.13,1.8705315560190518e-13,2.868457215704752e-05,2.76197060681913e-16,8.315,2.6842681517325263e-16,9.447,4.231397074152912e-16,9.917,4.3331381652358946e-17,11.7,0.3688200810918253,0.21016063291414092,0.01071937445380483,0.0077994946615235665,0.0029198797922812647,0.030536280592892786,47.007485101512934
140,10.5,5.900300552332959e+18,1.3956280061118187e+20,5.900300552332959e+18,2.3522669265933644,0.059866173484493426,3.567200393109484,1.3386331308174249,17.009623350392783,937.6554871904021,1158.1554871904023,466.8392362236048,0.1928070451749582,0.0028914475625656387,0.19569849273752385,3695.879161617418,0.4839004146175049,4854.518549222437,0.7614273227206214,0.8947901300759504,0.367958740863913,0.2801738389276602,3.0402810774317853e-16,12.13,1.8957578947059075e-13,2.9161291668005948e-05,2.957890572990528e-16,8.315,2.890914684355565e-16,9.447,4.582357452873616e-16,9.917,4.8285035031714444e-17,11.7,0.3756035240049863,0.21696269266492685,0.010949741801035917,0.00797615875641113,0.002973583044624786,0.030536280592892786,46.00776211250404
130,10.5,5.559071633283807e+18,1.282679448724632e+20,5.559071633283808e+18,2.398925255651427,0.05800168252868799,3.333220923710329,1.1919804214564285,16.375110038764678,902.6779408869029,1123.177940886903,452.6812290864448,0.1869597142098841,0.002574677710345886,0.18953439192023,3583.792859764252,0.42412423843751673,4707.394924889592,0.7614013782977331,0.8911571143911117,0.3842456361517344,0.29256515697081986,3.4159823062994403e-16,12.13,1.926706427009131e-13,2.9746147416103917e-05,3.198251866683195e-16,8.315,3.1444356954551917e-16,9.447,5.012927610232553e-16,9.917,5.436234587468028e-17,11.7,0.38279089732543153,0.22441148502240404,0.011196560212289285,0.00816607607362476,0.0030304841386645234,0.030536280592892786,45.02611473022641
120,10.5,5.200739263773832e+18,1.1681195018536904e+20,5.200739263773832e+18,2.4573335953586772,0.05620323852676816,3.1037495707331364,1.051862589755581,15.730113365758259,867.122499287424,1087.622499287424,437.1693092154409,0.1805532102075375,0.0022720231938720553,0.18282523340140955,3460.987883319507,0.3684201327825145,4548.9788027397135,0.7609084266050258,0.8871975627712256,0.4020020143163675,0.30588672020551827,3.8862967270500372e-16,12.13,1.9654487571504019e-13,3.04782879342981e-05,3.4991435697916573e-16,8.315,3.4618011399143267e-16,9.447,5.551928653058784e-16,9.917,6.197011159172469e-17,11.7,0.3904201906608741,0.23261016428954373,0.011461855639928409,0.008370971808889219,0.003090883831039187,0.030536280592892786,44.06477039371885
110,10.5,4.835538546560857e+18,1.0536112014629727e+20,4.835538546560856e+18,2.5175871274957786,0.05439088236083215,2.8726391702022,0.9181568468324082,14.99087142634459,826.3717873772455,1046.8717873772455,419.82940446648206,0.1733917388939724,0.0019832187891580025,0.1753749576831304,3323.7110915388525,0.3163614840177399,4370.899240400116,0.760490523848952,0.8822897337155426,0.4211530765780042,0.3202829238274042,4.468128079132799e-16,12.13,2.0024857594323383e-13,3.12335576862375e-05,3.8394752560339375e-16,8.315,3.823239475954975e-16,9.447,6.174538228825321e-16,9.917,7.143575126397337e-17,11.7,0.3983964800880076,0.24151126599226305,0.011742944144837392,0.00858891351808489,0.0031540306267525027,0.030536280592892786,42.933561616597004
