Te,rate,energy,rate_d
0.1,3.65441911922204E-17,0.15,2.19235225474311E-17
0.107226722201032,4.39827126069941E-17,0.160840083301548,2.69038066737117E-17
0.114975699539774,5.27009948642638E-17,0.172463549309661,3.31667733942777E-17
0.123284673944207,6.27965624793702E-17,0.184927010916311,4.09953005677518E-17
0.132194114846603,7.43384740010165E-17,0.198291172269905,5.07006112884215E-17
0.141747416292681,8.73582632023104E-17,0.212621124439021,6.26076732082406E-17
0.151991108295293,1.01841844333278E-16,0.227986662442939,7.70319936199559E-17
0.162975083462064,1.17723229505438E-16,0.244462625193096,9.42473862470836E-17
0.174752840000768,1.34880842585829E-16,0.262129260001152,1.14445941180875E-16
0.187381742286038,1.5313705626233E-16,0.281072613429057,1.37693598364024E-16
0.200923300256505,1.72261342006135E-16,0.301384950384758,1.63887003284583E-16
0.215443469003188,1.91977131693251E-16,0.323165203504782,1.92719073192328E-16
0.231012970008316,2.119721747903E-16,0.346519455012474,2.2366120284737E-16
0.247707635599171,2.31911865786596E-16,0.371561453398757,2.55968744849248E-16
0.265608778294669,2.51454738182372E-16,0.398413167442003,2.88713215036278E-16
0.28480358684358,2.70269093998548E-16,0.42720538026537,3.20840113771883E-16
0.305385550883342,2.88049578451466E-16,0.458078326325013,3.51246384603417E-16
0.327454916287773,3.04532434582768E-16,0.49118237443166,3.78867667360627E-16
0.351119173421513,3.19508199093407E-16,0.52667876013227,4.02763768833093E-16
0.376493580679247,3.32830743100281E-16,0.564740371018871,4.22191703968485E-16
0.403701725859655,3.44421826522378E-16,0.605552588789483,4.36658974155531E-16
0.432876128108306,3.54270713178368E-16,0.649314192162459,4.45954373364077E-16
0.464158883361278,3.62428855252426E-16,0.696238325041917,4.50157931287188E-16
0.497702356433211,3.69000149192642E-16,0.746553534649817,4.49633931521825E-16
0.533669923120631,3.74127724449531E-16,0.800504884680946,4.45010233242953E-16
0.572236765935022,3.77978583642671E-16,0.858355148902533,4.37143733627887E-16
0.613590727341317,3.80727612101529E-16,0.920386091011975,4.27067860107157E-16
0.657933224657568,3.82542485638803E-16,0.986899836986352,4.15916704796115E-16
0.705480231071864,3.83570829137904E-16,1.0582203466078,4.04824333296522E-16
0.756463327554629,3.83930647505934E-16,1.13469499133194,3.94806708564684E-16
0.811130830789687,3.83704620690801E-16,1.21669624618453,3.86643955471831E-16
0.869749002617783,3.82938393041695E-16,1.30462350392667,3.80786953004183E-16
0.93260334688322,3.81642559629417E-16,1.39890502032483,3.77310408307104E-16
1,3.79797710466649E-16,1.5,3.75924419868472E-16
1.07226722201032,3.77361670073829E-16,1.60840083301548,3.76041890098713E-16
1.14975699539774,3.74277974675977E-16,1.72463549309661,3.76885686231455E-16
1.23284673944207,3.70484652953238E-16,1.84927010916311,3.77611797130142E-16
1.32194114846603,3.65922494794131E-16,1.98291172269905,3.77424555560657E-16
1.41747416292681,3.60542174216387E-16,2.12621124439021,3.75665917927996E-16
1.51991108295293,3.54309804364994E-16,2.27986662442939,3.71869709686868E-16
1.62975083462064,3.47210714661571E-16,2.44462625193096,3.65780456903023E-16
1.74752840000768,3.39251429893397E-16,2.62129260001152,3.57342779366688E-16
1.87381742286038,3.30459983502045E-16,2.81072613429057,3.46670547508609E-16
2.00923300256505,3.20884805650504E-16,3.01384950384757,3.34005438663091E-16
2.15443469003188,3.10592490543371E-16,3.23165203504782,3.1967307662192E-16
2.31012970008316,2.9966477152961E-16,3.46519455012474,3.04042600015624E-16
2.47707635599171,2.88195024271202E-16,3.71561453398757,2.87493070762057E-16
2.65608778294669,2.76284586507432E-16,3.98413167442003,2.70388084216223E-16
2.8480358684358,2.64039136395275E-16,4.2720538026537,2.53058475281834E-16
3.05385550883342,2.51565317780353E-16,4.58078326325013,2.35792129546607E-16
3.27454916287773,2.38967746268571E-16,4.9118237443166,2.18829499295576E-16
3.51119173421513,2.26346479166832E-16,5.26678760132269,2.02363349814568E-16
3.76493580679247,2.13794988170548E-16,5.64740371018871,1.86541389159249E-16
4.03701725859656,2.0139863762666E-16,6.05552588789484,1.71470660750093E-16
4.32876128108306,1.89233643716219E-16,6.49314192162459,1.57222831948185E-16
4.64158883361278,1.77366470600209E-16,6.96238325041917,1.43839751043821E-16
4.97702356433211,1.65853607556614E-16,7.46553534649816,1.31338849043486E-16
5.33669923120631,1.54741665224592E-16,8.00504884680947,1.19718124484331E-16
5.72236765935022,1.44067727985632E-16,8.58355148902533,1.08960570607015E-16
6.13590727341317,1.33859902009782E-16,9.20386091011975,9.90379899726088E-17
6.57933224657568,1.24138003455828E-16,9.86899836986352,8.99141988236219E-17
7.05480231071865,1.14914337782928E-16,10.582203466078,8.15476588932113E-17
7.56463327554629,1.06194528336569E-16,11.3469499133194,7.3893593882284E-17
8.11130830789687,9.79783597236425E-17,12.1669624618453,6.69056562958859E-17
8.69749002617784,9.02606085640919E-17,13.0462350392668,6.05372115161908E-17
9.3260334688322,8.30318407156094E-17,13.9890502032483,5.47423026795944E-17
10,7.62791598443624E-17,15,4.94763541094153E-17
10.7226722201032,6.99868971798916E-17,16.0840083301548,4.46966640947107E-17
11.4975699539774,6.41372364341025E-17,17.2463549309661,4.03627305880042E-17
12.3284673944207,5.87107712172771E-17,18.4927010916311,3.64364464653931E-17
13.2194114846603,5.36869949130455E-17,19.8291172269905,3.28821946563267E-17
14.174741629268,4.90447249611688E-17,21.262112443902,2.96668678499579E-17
15.1991108295293,4.47624649310121E-17,22.7986662442939,2.67598326583844E-17
16.2975083462065,4.08187087391954E-17,24.4462625193097,2.41328540385905E-17
17.4752840000768,3.71921919570742E-17,26.2129260001152,2.17599923832056E-17
18.7381742286039,3.38620954449363E-17,28.1072613429059,1.96174829072961E-17
20.0923300256505,3.08082066085673E-17,30.1384950384758,1.76836047014718E-17
21.5443469003188,2.8011043459004E-17,32.3165203504782,1.59385450102376E-17
23.1012970008316,2.54519464172261E-17,34.6519455012474,1.43642628548145E-17
24.7707635599171,2.3113142482705E-17,37.1561453398756,1.2944354985983E-17
26.5608778294669,2.09777860105373E-17,39.8413167442003,1.16639262681165E-17
28.480358684358,1.90299799416876E-17,42.720538026537,1.0509465912368E-17
30.5385550883342,1.72547809239282E-17,45.8078326325013,9.46873045474763E-18
32.7454916287773,1.56381913616001E-17,49.118237443166,8.5306339804402E-18
35.1119173421513,1.41671410503898E-17,52.667876013227,7.68514580207808E-18
37.6493580679247,1.28294606956177E-17,56.4740371018871,6.92319558490027E-18
40.3701725859655,1.16138492831495E-17,60.5552588789483,6.23658575818101E-18
43.2876128108306,1.05098369730185E-17,64.9314192162459,5.6179109459578E-18
46.4158883361278,9.50774491772158E-18,69.6238325041917,5.06048407978541E-18
49.7702356433211,8.59864316934875E-18,74.6553534649817,4.55826881320904E-18
53.3669923120631,7.77430763089458E-18,80.0504884680946,4.10581783500109E-18
57.2236765935022,7.02717682542056E-18,85.8355148902533,3.69821667057742E-18
61.3590727341318,6.35030910005703E-18,92.0386091011977,3.33103256424406E-18
65.7933224657568,5.7373407478462E-18,98.6899836986352,3.00026804582633E-18
70.5480231071865,5.18244541681394E-18,105.82203466078,2.70231880135463E-18
75.6463327554629,4.68029508013614E-18,113.469499133194,2.43393548697284E-18
81.1130830789687,4.2260227616683E-18,121.669624618453,2.19218914670745E-18
86.9749002617784,3.81518714540115E-18,130.462350392668,1.97443991715761E-18
93.260334688322,3.44373914372948E-18,139.890502032483,1.77830872478595E-18
100,3.10799045607895E-18,150,1.60165170377014E-18
