,Te,rate
0,0.1,7.950566199076793e-66
1,0.10722672220103231,1.987180280587194e-62
2,0.11497569953977356,2.9383835361096903e-59
3,0.12328467394420663,2.663087175507721e-56
4,0.1321941148466029,1.5289938048581222e-53
5,0.1417474162926805,5.735106427981717e-51
6,0.1519911082952934,1.4463195138142185e-48
7,0.16297508346206444,2.518872455775836e-46
8,0.17475284000076838,3.106109321096517e-44
9,0.1873817422860384,2.775974420087802e-42
10,0.20092330025650468,1.837557782213498e-40
11,0.2154434690031884,9.193835183985374e-39
12,0.23101297000831597,3.543177841183591e-37
13,0.24770763559917108,1.0704995015988174e-35
14,0.26560877829466867,2.577609323409929e-34
15,0.2848035868435802,5.022754805658422e-33
16,0.30538555088334157,8.034663094544513e-32
17,0.32745491628777285,1.0692523225343117e-30
18,0.3511191734215131,1.1985973930082779e-29
19,0.3764935806792468,1.1449197496398857e-28
20,0.40370172585965547,9.420466815780051e-28
21,0.43287612810830584,6.74426720914882e-27
22,0.464158883361278,4.240676560551929e-26
23,0.49770235643321115,2.3624916361382187e-25
24,0.533669923120631,1.1756520586332337e-24
25,0.5722367659350217,5.2657242773719906e-24
26,0.6135907273413173,2.137862286078942e-23
27,0.6579332246575681,7.919605478567637e-23
28,0.7054802310718644,2.693339515648455e-22
29,0.7564633275546289,8.457032416681786e-22
30,0.8111308307896873,2.4648232359197454e-21
31,0.8697490026177834,6.700904066566547e-21
32,0.9326033468832199,1.707058066047479e-20
33,1.0,4.0923916494256816e-20
34,1.072267222010323,9.269079400152551e-20
35,1.1497569953977356,1.990778562495839e-19
36,1.232846739442066,4.068387013981056e-19
37,1.3219411484660293,7.936321597027073e-19
38,1.4174741629268055,1.4821971326970146e-18
39,1.5199110829529339,2.6575996795405415e-18
40,1.6297508346206444,4.5866917860174624e-18
41,1.7475284000076838,7.638258001696309e-18
42,1.8738174228603839,1.2301750870730955e-17
43,2.009233002565047,1.9202172154265244e-17
44,2.1544346900318843,2.9108658769896213e-17
45,2.31012970008316,4.2934733143040534e-17
46,2.4770763559917115,6.17289507684798e-17
47,2.656087782946687,8.665571937686475e-17
48,2.848035868435802,1.1896721406619532e-16
49,3.0538555088334154,1.5996838778071308e-16
50,3.2745491628777286,2.109779057675364e-16
51,3.511191734215131,2.7328828742906036e-16
52,3.7649358067924674,3.481285513678907e-16
53,4.037017258596556,4.3663222881099157e-16
54,4.328761281083059,5.398128005576308e-16
55,4.641588833612779,6.585475406002286e-16
56,4.977023564332112,7.935695716897306e-16
57,5.3366992312063095,9.454668290722686e-16
58,5.722367659350217,1.114685757462892e-15
59,6.1359072734131725,1.3015370695296854e-15
60,6.5793322465756825,1.5062008503797639e-15
61,7.054802310718645,1.7287287049760372e-15
62,7.56463327554629,1.9690414377303737e-15
63,8.111308307896872,2.226921782179905e-15
64,8.697490026177835,2.5020027802748406e-15
65,9.326033468832199,2.793753358557163e-15
66,10.0,3.1014633088912658e-15
67,10.722672220103231,3.4242301626141474e-15
68,11.497569953977356,3.760950332485456e-15
69,12.32846739442066,4.110316441944967e-15
70,13.219411484660288,4.470822074670371e-15
71,14.174741629268048,4.840774393702804e-15
72,15.199110829529332,5.218314328797821e-15
73,16.297508346206453,5.601443414551236e-15
74,17.475284000076847,5.988055937854936e-15
75,18.73817422860385,6.375974832450023e-15
76,20.09233002565048,6.7629897136036625e-15
77,21.544346900318846,7.146895527433776e-15
78,23.101297000831604,7.525530442423959e-15
79,24.770763559917114,7.896811790268321e-15
80,26.560877829466868,8.258769042170562e-15
81,28.48035868435802,8.60957297592998e-15
82,30.538555088334157,8.947560351833178e-15
83,32.74549162877728,9.27125357933269e-15
84,35.11191734215131,9.579375027635204e-15
85,37.64935806792467,9.870855812754286e-15
86,40.37017258596554,1.0144839078133116e-14
87,43.28761281083057,1.0400677970170573e-14
88,46.41588833612782,1.0637928687407356e-14
89,49.770235643321136,1.0856339144298939e-14
90,53.366992312063125,1.1055833924134458e-14
91,57.223676593502205,1.1236496279603404e-14
92,61.35907273413176,1.1398547944418364e-14
93,65.79332246575683,1.1542327413266067e-14
94,70.54802310718645,1.1668267108982046e-14
95,75.64633275546291,1.1776869494954686e-14
96,81.11308307896873,1.186868176813976e-14
97,86.97490026177834,1.1944268403929088e-14
98,93.26033468832199,1.2004180682488328e-14
99,100.0,1.2048922570120405e-14
