Te,rate,energy,K_druyv
0.1,2.22667583947079e-83,15.7,0.0
0.10722672220103231,9.151349884705186e-79,15.7,0.0
0.11497569953977356,1.84321749694663e-74,15.7,0.0
0.12328467394420663,1.909093435989529e-70,15.7,0.0
0.1321941148466029,1.0634640506828013e-66,15.7,0.0
0.1417474162926805,3.322267049853953e-63,15.7,0.0
0.1519911082952934,6.052119742226071e-60,15.7,0.0
0.16297508346206444,6.667205573429155e-57,15.7,0.0
0.17475284000076838,4.5949404106295515e-54,15.7,0.0
0.1873817422860384,2.0448347642953046e-51,15.7,0.0
0.20092330025650468,6.051943044026257e-49,15.7,0.0
0.2154434690031884,1.2244516506564266e-46,15.7,0.0
0.23101297000831597,1.7375800572624551e-44,15.7,0.0
0.24770763559917108,1.7713287409384884e-42,15.7,0.0
0.26560877829466867,1.32647406728874e-40,15.7,0.0
0.2848035868435802,7.450479969638947e-39,15.7,0.0
0.30538555088334157,3.200272235386056e-37,15.7,1.2269376143641145e-297
0.32745491628777285,1.070458534755687e-35,15.7,4.101126227771072e-261
0.3511191734215131,2.8357389293459585e-34,15.7,2.4242604814057707e-229
0.3764935806792468,6.0438722369284394e-33,15.7,1.0552410659430387e-201
0.40370172585965547,1.0517086142854034e-31,15.7,1.1697104486309863e-177
0.43287612810830584,1.5148012535748396e-30,15.7,9.714945319226691e-157
0.464158883361278,1.829128986916832e-29,15.7,1.5454573331171078e-138
0.49770235643321115,1.8738562355243663e-28,15.7,1.0651742661613343e-122
0.533669923120631,1.6468642085923887e-27,15.7,6.468512532586739e-109
0.5722367659350217,1.2546138097533088e-26,15.7,6.41620465949338e-97
0.6135907273413173,8.365477481183667e-26,15.7,1.7780689934728795e-86
0.6579332246575681,4.926222663060092e-25,15.7,2.195435741951186e-77
0.7054802310718644,2.583624889807495e-24,15.7,1.8124482095724256e-69
0.7564633275546289,1.216295484497605e-23,15.7,1.423858335271739e-62
0.8111308307896873,5.1774249703893584e-23,15.7,1.446815130983191e-56
0.8697490026177834,2.0063577402908317e-22,15.7,2.4831244752142354e-51
0.9326033468832199,7.123206822129344e-22,15.7,9.077883261009934e-47
1.0,2.3306630056353463e-21,15.7,8.649099473393416e-43
1.072267222010323,7.066561637370338e-21,15.7,2.5592518137972854e-39
1.1497569953977356,1.995654110138119e-20,15.7,2.73917389192387e-36
1.232846739442066,5.2745020548265124e-20,15.7,1.2107500983215136e-33
1.3219411484660293,1.31046329029337e-19,15.7,2.4800921974105048e-31
1.4174741629268055,3.07334321025734e-19,15.7,2.602418126052154e-29
1.5199110829529339,6.829872004716475e-19,15.7,1.5262258694925537e-27
1.6297508346206444,1.4434027960917895e-18,15.7,5.396206483909301e-26
