Te,rate,energy,K_druyv
0.1,1.2275927117410107e-15,3.0545258984467915e-06,9.917899722686197e-16
0.10722672220103231,1.2076475109047926e-15,3.352230624944532e-06,9.563993190729386e-16
0.11497569953977356,1.1970629920017933e-15,3.671449645005607e-06,9.30551641386677e-16
0.12328467394420663,1.1970583599737917e-15,4.0137377368593555e-06,9.155959290911266e-16
0.1321941148466029,1.2089243210481164e-15,4.380762038238586e-06,9.129351977118643e-16
0.1417474162926805,1.234024638016592e-15,4.774310166288774e-06,9.240271264662888e-16
0.1519911082952934,1.2737982104395646e-15,5.196298924280514e-06,9.503884636382572e-16
0.16297508346206444,1.3297620573064756e-15,5.648783637531902e-06,9.936034870131227e-16
0.17475284000076838,1.4035157224991612e-15,6.133968164012104e-06,1.055335513496127e-15
0.1873817422860384,1.4967477576665381e-15,6.6542156283834265e-06,1.1373386024168277e-15
0.20092330025650468,1.6112450429999055e-15,7.212059931762777e-06,1.2414652106104438e-15
0.2154434690031884,1.7489057677747597e-15,7.81021809326164e-06,1.3696660018698348e-15
0.23101297000831597,1.911756900198942e-15,8.451603483414827e-06,1.5239809321868583e-15
0.24770763559917108,2.1019769305158465e-15,9.139340013952391e-06,1.7065252624306092e-15
0.26560877829466867,2.321924584362633e-15,9.876777353026926e-06,1.9194782101047565e-15
0.2848035868435802,2.5741740985909183e-15,1.066750724000306e-05,2.16508343737232e-15
0.30538555088334157,2.8615575616194884e-15,1.1515380979271496e-05,2.44566866686302e-15
0.32745491628777285,3.187214780276556e-15,1.2424528198292364e-05,2.7636875192863568e-15
0.3511191734215131,3.554651173955381e-15,1.3399376961230283e-05,3.121782598892372e-15
0.3764935806792468,3.967804326545495e-15,1.4444675336145929e-05,3.5228669521132607e-15
0.40370172585965547,4.431120032277091e-15,1.556551452078863e-05,3.970221356054195e-15
0.43287612810830584,4.9496389068246005e-15,1.6767353639625776e-05,4.467605640670495e-15
0.464158883361278,5.529094821697837e-15,1.8056046332884623e-05,5.019381585492625e-15
0.49770235643321115,6.176026453301699e-15,1.9437869267110282e-05,5.6306428651340565e-15
0.533669923120631,6.897902993574793e-15,2.0919552706102583e-05,6.307345887903012e-15
0.5722367659350217,7.703264409974628e-15,2.250831329112956e-05,7.056436203597473e-15
0.6135907273413173,8.601875427648519e-15,2.421188919007593e-05,7.885969199367098e-15
0.6579332246575681,9.604890503051948e-15,2.6038577786722903e-05,8.80523046265032e-15
0.7054802310718644,1.0725024363973732e-14,2.799727609372748e-05,9.824869065476093e-15
0.7564633275546289,1.1976719171521454e-14,3.00975240861356e-05,1.0957063764450097e-14
0.8111308307896873,1.3376295098840252e-14,3.234955116648783e-05,1.2215744168660169e-14
0.8697490026177834,1.4942066375624587e-14,3.476432598782911e-05,1.361688296075061e-14
0.9326033468832199,1.6694400086807553e-14,3.735360987728921e-05,1.5178861074175223e-14
1.0,1.8655690926608337e-14,4.013001412043667e-05,1.692288998842276e-14
1.072267222010323,2.0850222553813146e-14,4.310706138541407e-05,1.8873461195969035e-14
1.1497569953977356,2.330388609340158e-14,4.6299251586024825e-05,2.1058786296143343e-14
1.232846739442066,2.6043729520597808e-14,4.97221325045623e-05,2.3511187691573283e-14
1.3219411484660293,2.9097318730549715e-14,5.339237551835463e-05,2.6267388489986046e-14
1.4174741629268055,3.249190221646015e-14,5.7327856798856515e-05,2.936862284861251e-14
1.5199110829529339,3.6253386101208014e-14,6.15477443787739e-05,3.286044948093034e-14
1.6297508346206444,4.040514385483955e-14,6.607259151128779e-05,3.6792117740184986e-14
1.7475284000076838,4.496670387128857e-14,7.092443677608981e-05,4.121532195578081e-14
1.8738174228603839,4.9952376192733915e-14,7.612691141980301e-05,4.618219212003578e-14
2.009233002565047,5.536989482020831e-14,8.170535445359654e-05,5.174242015498732e-14
2.1544346900318843,6.121916203738808e-14,8.768693606858518e-05,5.793953267495522e-14
2.31012970008316,6.74911841983163e-14,9.410078997011704e-05,6.480649105270403e-14
2.4770763559917115,7.416728341589065e-14,0.0001009781552754927,7.236097382774092e-14
2.656087782946687,8.121865643073398e-14,0.00010835252866623802,8.060080448548489e-14
2.848035868435802,8.860633158117106e-14,0.00011625982753599933,8.95000066679554e-14
3.0538555088334154,9.628154911902675e-14,0.0001247385649286837,9.900593722149272e-14
3.2745491628777286,1.0418656168271633e-13,0.0001338300371188924,1.0903791126858794e-13
3.511191734215131,1.122558234095303e-13,0.00014357852474827158,1.1948768893828044e-13
3.7649358067924674,1.204175107002657e-13,0.000154031508497428,1.3022208389451552e-13
4.037017258596556,1.2859529733514743e-13,0.00016523990034385513,1.4108772631095102e-13
4.328761281083059,1.36710293055434e-13,0.00017725829153222657,1.5191768429268457e-13
4.641588833612779,1.4468304860793085e-13,0.00019014521846481497,1.6253931771289973e-13
4.977023564332112,1.5243553151777026e-13,0.00020396344780707157,1.7278253174313555e-13
5.3366992312063095,1.5989298473182215e-13,0.00021878028219699455,1.824875832256616e-13
5.722367659350217,1.6698559347731677e-13,0.00023466788804726434,1.915117484430687e-13
6.1359072734131725,1.7364990261901703e-13,0.00025170364703672806,1.9973440037049915e-13
6.5793322465756825,1.7982994576487772e-13,0.00026997053300319786,2.0706028339580063e-13
7.054802310718645,1.8547806669177135e-13,0.0002895575160732436,2.134209755014482e-13
7.56463327554629,1.90555431832745e-13,0.00031055999599732484,2.1877469256133608e-13
8.111308307896872,1.9503224835398486e-13,0.0003330802668008469,2.2310471911084237e-13
8.697490026177835,1.988877148830119e-13,0.00035722801501425987,2.2641682875485946e-13
9.326033468832199,2.021097407706493e-13,0.00038312085390886075,2.28736066936205e-13
10.0,2.0469447483168876e-13,0.00041088489634033543,2.3010321515970923e-13
10.722672220103231,2.0664568612842071e-13,0.00044065536899010944,2.305711751076672e-13
11.497569953977356,2.0797403812230508e-13,0.00047257727099621696,2.302014493293504e-13
12.32846739442066,2.0869629416322134e-13,0.0005068060801815917,2.2906087779260147e-13
13.219411484660288,2.0883448759791462e-13,0.0005435085103195148,2.2721880077410653e-13
14.174741629268048,2.0841508449206925e-13,0.0005828633231245336,2.247448083989038e-13
15.199110829529332,2.0746816168147585e-13,0.0006250621989237074,2.21707161870915e-13
16.297508346206453,2.0602661803160873e-13,0.0006703106702488469,2.181718397389394e-13
17.475284000076847,2.0412543263000888e-13,0.0007188291228968671,2.1420204007116083e-13
18.73817422860385,2.0180098020724942e-13,0.0007708538693339994,2.0985792694146773e-13
20.09233002565048,1.9909041126228075e-13,0.0008266382996719345,2.0519646103486134e-13
21.544346900318846,1.9603110193408949e-13,0.0008864541158218207,2.002712465377092e-13
23.101297000831604,1.9266017636478153e-13,0.0009505926548371393,1.951323910844643e-13
24.770763559917114,1.8901410194880002e-13,0.0010193663078908958,1.8982638622531702e-13
26.560877829466868,1.8512835539829558e-13,0.0010931100417983489,1.843959993466306e-13
28.48035868435802,1.8103715508215904e-13,0.0011721830304959623,1.7888016501804091e-13
30.538555088334157,1.7677325287727246e-13,0.0012569704044228058,1.7331388773939363e-13
32.74549162877728,1.7236777715609956e-13,0.0013478851263248927,1.6772820017329328e-13
35.11191734215131,1.6785011785961558e-13,0.0014453700026186846,1.6215023616638493e-13
