Te,rate,energy,K_druyv
0.1,1.023200783524241e-14,1.4562198339214454e-06,9.76776195097015e-15
0.10722672220103231,9.835643492647117e-15,1.598148087860498e-06,9.302231960050785e-15
0.11497569953977356,9.437063958161002e-15,1.7503331024365017e-06,8.831684124258142e-15
0.12328467394420663,9.03886409246552e-15,1.9135161052475143e-06,8.35936880663116e-15
0.1321941148466029,8.643863335256851e-15,2.0884918903509804e-06,7.88882127003938e-15
0.1417474162926805,8.25510729927476e-15,2.2761126893629497e-06,7.423817691379191e-15
0.1519911082952934,7.8758722061014e-15,2.4772923223108724e-06,6.968323739524612e-15
0.16297508346206444,7.509672966757e-15,2.6930106484569967e-06,6.526444303701322e-15
0.17475284000076838,7.160275588712939e-15,2.9243183387704183e-06,6.102384259671465e-15
0.1873817422860384,6.8317144915722904e-15,3.1723419932924155e-06,5.700429824193092e-15
0.20092330025650468,6.5283152635745934e-15,3.4382896283195646e-06,5.3249574117984105e-15
0.2154434690031884,6.254723409114819e-15,3.723456560130343e-06,4.980471732240046e-15
0.23101297000831597,6.015939727719793e-15,4.029231713912292e-06,4.671668283232526e-15
0.24770763559917108,5.8173631108441314e-15,4.357104388617842e-06,4.40351010457724e-15
0.26560877829466867,5.66484170461425e-15,4.7086715106974585e-06,4.181307540469706e-15
0.2848035868435802,5.564733504758798e-15,5.085645412039931e-06,4.010793608416378e-15
0.30538555088334157,5.52397745595229e-15,5.489862170002818e-06,3.898194089104252e-15
0.32745491628777285,5.55017595955499e-15,5.923290550153701e-06,3.850296625782243e-15
0.3511191734215131,5.651689309689869e-15,6.388041595278524e-06,3.874524168729427e-15
0.3764935806792468,5.837741963319454e-15,6.886378907360912e-06,3.979015655546595e-15
0.40370172585965547,6.1185397130693555e-15,7.420729672611586e-06,4.1727146655180464e-15
0.43287612810830584,6.5053957852975776e-15,7.993696483246015e-06,4.465468962705026e-15
0.464158883361278,7.0108626269238046e-15,8.608070013589113e-06,4.868150893805899e-15
0.49770235643321115,7.648864633064446e-15,9.266842612246779e-06,5.392815975998224e-15
0.533669923120631,8.434825222347878e-15,9.973222876545955e-06,6.052917512808055e-15
0.5722367659350217,9.385779387088669e-15,1.0730651280228951e-05,6.863584195966121e-15
0.6135907273413173,1.052046006737235e-14,1.154281693051783e-05,7.84194765936147e-15
0.6579332246575681,1.185934347904846e-14,1.2413675536165299e-05,9.007486546002797e-15
0.7054802310718644,1.3424635129605263e-14,1.3347468674006691e-05,1.0382343300021779e-14
0.7564633275546289,1.5240175196535238e-14,1.434874444785218e-05,1.1991575772738325e-14
0.8111308307896873,1.7331239948149928e-14,1.5422379640339726e-05,1.38633251314039e-14
0.8697490026177834,1.9724215778587805e-14,1.657360346564086e-05,1.6028902216366684e-14
0.9326033468832199,2.2446124947807948e-14,1.7808023038708602e-05,1.8522800351601118e-14
1.0,2.5523987750846802e-14,1.9131650685117123e-05,2.1382625764278072e-14
1.072267222010323,2.8984014701027936e-14,2.0550933224507648e-05,2.4648906939949058e-14
1.1497569953977356,3.285063408861452e-14,2.2072783370267683e-05,2.8364720875733812e-14
1.232846739442066,3.714537425033926e-14,2.3704613398377805e-05,3.257505779997517e-14
1.3219411484660293,4.18856349820042e-14,2.5454371249412482e-05,3.73258042639741e-14
1.4174741629268055,4.7083397393962475e-14,2.7330579239532178e-05,4.266214508495051e-14
1.5199110829529339,5.2743934621316015e-14,2.934237556901139e-05,4.8626150134867165e-14
1.6297508346206444,5.886459559618976e-14,3.149955883047264e-05,5.525345095403224e-14
1.7475284000076838,6.543373915431459e-14,3.381263573360685e-05,6.256921915114708e-14
1.8738174228603839,7.242989502078466e-14,3.6292872278826823e-05,7.058393256776609e-14
2.009233002565047,7.982122118383601e-14,3.895234862909832e-05,7.928945818875108e-14
2.1544346900318843,8.756531398137474e-14,4.18040179472061e-05,8.865581585298463e-14
2.31012970008316,9.560940876203055e-14,4.4861769485025594e-05,9.862881344725624e-14
2.4770763559917115,1.0389098673495332e-13,4.8140496232081105e-05,1.0912870939562953e-13
2.656087782946687,1.123387795239668e-13,5.165616745287725e-05,1.2005012822845523e-13
2.848035868435802,1.2087413911549475e-13,5.542590646630197e-05,1.3126349256525887e-13
3.0538555088334154,1.294127193849163e-13,5.946807404593084e-05,1.4261814495943455e-13
3.2745491628777286,1.3786639794416266e-13,6.380235784743968e-05,1.5394712552791902e-13
3.511191734215131,1.4614535493796208e-13,6.84498682986879e-05,1.6507332327397885e-13
3.7649358067924674,1.5416021931891078e-13,7.343324141951177e-05,1.7581651144568264e-13
4.037017258596556,1.6182419315290506e-13,7.877674907201856e-05,1.8600066127519665e-13
4.328761281083059,1.6905507019841915e-13,8.450641717836285e-05,1.9546092140030797e-13
4.641588833612779,1.75777075459119e-13,9.065015248179379e-05,2.0404974030862843e-13
4.977023564332112,1.8192246638664935e-13,9.723787846837047e-05,2.1164176146534486e-13
5.3366992312063095,1.8743285247321171e-13,0.0001043016811113622,2.181372907764017e-13
5.722367659350217,1.9226020664618523e-13,0.00011187596514819218,2.234642871040739e-13
6.1359072734131725,1.9636755779776118e-13,0.00011999762165108098,2.275789417892953e-13
6.5793322465756825,1.9972936784205996e-13,0.0001287062077075557,2.304649939301094e-13
7.054802310718645,2.0233160813804316e-13,0.00013804413908596958,2.321319837817072e-13
7.56463327554629,2.0417155860362153e-13,0.0001480568968244245,2.326126846337047e-13
8.111308307896872,2.052573584222845e-13,0.00015879324874929987,2.319599767675839e-13
8.697490026177835,2.0560734027498625e-13,0.00017030548700231124,2.302434347548332e-13
9.326033468832199,2.052491810926752e-13,0.00018264968273298867,2.275458865364969e-13
10.0,2.042189020867213e-13,0.00019588595919707387,2.2396016219575486e-13
10.722672220103231,2.025597499332039e-13,0.00021007878459097912,2.1958618251211683e-13
11.497569953977356,2.003209900272914e-13,0.0002252972860485795,2.1452845775961405e-13
12.32846739442066,1.9755664208920192e-13,0.0002416155863296807,2.088939932253532e-13
13.219411484660288,1.9432418827775305e-13,0.00025911316484002737,2.0279053072960044e-13
14.174741629268048,1.9068328427726852e-13,0.00027787524474122427,1.9632499341592482e-13
15.199110829529332,1.8669450423641637e-13,0.00029799320803601645,1.8960197191918754e-13
16.297508346206453,1.8241815042175792e-13,0.0003195650406506292,1.8272213714934335e-13
17.475284000076847,1.7791315739388949e-13,0.00034269580968197133,1.7578058139968714e-13
18.73817422860385,1.732361178907615e-13,0.00036749817513417107,1.6886519248499385e-13
20.09233002565048,1.6844045311957925e-13,0.000394092938636886,1.6205517444616422e-13
21.544346900318846,1.6357574386710418e-13,0.0004226096318179638,1.5541975932913042e-13
23.101297000831604,1.5868723115249929e-13,0.00045318714719615866,1.4901710534909636e-13
24.770763559917114,1.5381548677233387e-13,0.0004859744146667137,1.4289341687408144e-13
26.560877829466868,1.4899624587884945e-13,0.0005211311268746751,1.3708242130683152e-13
28.48035868435802,1.4426038652585572e-13,0.0005588285170089225,1.316054040216187e-13
30.538555088334157,1.3963403557805712e-13,0.0005992501928052111,1.2647196453268893e-13
32.74549162877728,1.3513877690902198e-13,0.0006425930308202994,1.2168151707847047e-13
35.11191734215131,1.3079193651388822e-13,0.0006890681353327817,1.1722537945448195e-13
37.64935806792467,1.26606919872554e-13,0.0007389018665410205,1.130891533964387e-13
40.37017258596554,1.2259357925638677e-13,0.0007923369430660878,1.0925505049757493e-13
43.28761281083057,1.1875859219472118e-13,0.0008496336241295307,1.057038676539241e-13
46.41588833612782,1.1510583647112578e-13,0.0009110709771638412,1.0241643459777641e-13
49.770235643321136,1.116367512605055e-13,0.0009769482370296076,9.937449398015888e-14
53.366992312063125,1.0835067782565224e-13,0.0010475862634595253,9.656108721185096e-14
57.223676593502205,1.052451760948221e-13,0.0011233291038278252,9.396058247259793e-14
61.35907273413176,1.0231631506344572e-13,0.001204545668856713,9.155849341703922e-14
65.79332246575683,9.955893509560409e-14,0.0012916315294214595,8.934121225534296e-14
70.54802310718645,9.696687891064261e-14,0.0013850108432055983,8.729573880832932e-14
75.64633275546291,9.453318577185085e-14,0.0014851384205901476,8.540944638501289e-14
81.11308307896873,9.225024101551415e-14,0.0015925019398389017,8.366989996962522e-14
86.97490026177834,9.010987177469025e-14,0.001707624322369015,8.206473842634385e-14
93.26033468832199,8.810338084186887e-14,0.0018310662796757894,8.0581644367349e-14
100.0,8.62215150214671e-14,0.0019634290443166415,7.92084353607003e-14
