Te,rate,energy,Kdruyv
0.1,2.2336572367007995e-58,9.915,0.0
0.10722672220103231,1.8669695682613785e-55,9.915,0.0
0.11497569953977356,9.908935270104504e-53,9.915,0.0
0.12328467394420663,3.443495168810618e-50,9.915,0.0
0.1321941148466029,8.063010724611911e-48,9.915,0.0
0.1417474162926805,1.3066105457169768e-45,9.915,0.0
0.1519911082952934,1.5024723804379254e-43,9.915,0.0
0.16297508346206444,1.2549331374601462e-41,9.915,0.0
0.17475284000076838,7.781394785670833e-40,9.915,0.0
0.1873817422860384,3.655564697636333e-38,9.915,7.15172175e-315
0.20092330025650468,1.3260393112374896e-36,9.915,3.711131096549339e-276
0.2154434690031884,3.780522229461447e-35,9.915,1.7818803479759754e-242
0.23101297000831597,8.612065219032671e-34,9.915,3.547299061391335e-213
0.24770763559917108,1.5918416898541454e-32,9.915,1.0871222529359869e-187
0.26560877829466867,2.4218493929945695e-31,9.915,1.6103175693720185e-165
0.2848035868435802,3.073521558308183e-30,9.915,3.1231209553148557e-146
0.30538555088334157,3.2942108592345083e-29,9.915,1.8885757091993e-129
0.32745491628777285,3.0164748976998046e-28,9.915,7.581773817789228e-115
0.3511191734215131,2.3852637508222986e-27,9.915,3.904756742026297e-102
0.3764935806792468,1.6450853185365227e-26,9.915,4.5811563947340955e-91
0.40370172585965547,9.98796834919987e-26,9.915,2.017323064341572e-81
0.43287612810830584,5.384432677095237e-25,9.915,5.1359480441193825e-73
0.464158883361278,2.598067944160515e-24,9.915,1.0962531355289462e-65
0.49770235643321115,1.1304154147419657e-23,9.915,2.6988482447865954e-59
0.533669923120631,4.465863905594378e-23,9.915,1.0086860616803586e-53
0.5722367659350217,1.6123004749264378e-22,9.915,7.264390626562348e-49
0.6135907273413173,5.351294458008849e-22,9.915,1.2416979060954544e-44
0.6579332246575681,1.6419650059748682e-21,9.915,6.048672247679828e-41
0.7054802310718644,4.6818212761071904e-21,9.915,9.862596487654147e-38
0.7564633275546289,1.2465553070087558e-20,9.915,6.200368211473582e-35
0.8111308307896873,3.113231870873119e-20,9.915,1.7015861864269634e-32
0.8697490026177834,7.323857347846336e-20,9.915,2.2728085556627737e-30
0.9326033468832199,1.6292941663185434e-19,9.915,1.6251644006495011e-28
1.0,3.4401648352866846e-19,9.915,6.760201574985117e-27
1.072267222010323,6.917708626513297e-19,9.915,1.7586643458763709e-25
1.1497569953977356,1.3290255290791864e-18,9.915,3.0468270495098886e-24
1.232846739442066,2.4467278949964082e-18,9.915,3.7114971017132706e-23
1.3219411484660293,4.3283994092027194e-18,9.915,3.3314014747987177e-22
1.4174741629268055,7.37712068301396e-18,9.915,2.2938754803711155e-21
1.5199110829529339,1.2142802051171979e-17,9.915,1.254275120531084e-20
1.6297508346206444,1.9346790414790183e-17,9.915,5.610313509669481e-20
1.7475284000076838,2.9900469820061325e-17,9.915,2.1058894151152431e-19
1.8738174228603839,4.491455712587559e-17,9.915,6.780923987393277e-19
2.009233002565047,6.569632077668407e-17,9.915,1.9089831226980364e-18
2.1544346900318843,9.373291624593085e-17,9.915,4.776747128102281e-18
2.31012970008316,1.3066031116199693e-16,9.915,1.0777105532937312e-17
2.4770763559917115,1.7821868670693906e-16,9.915,2.2199093600166187e-17
2.656087782946687,2.3819655153743265e-16,9.915,4.2205356807847325e-17
2.848035868435802,3.1236691094855347e-16,9.915,7.477234064710124e-17
3.0538555088334154,4.024195661140676e-16,9.915,1.2447491366361735e-16
3.2745491628777286,5.098939093896422e-16,9.915,1.9614088030389324e-16
3.511191734215131,6.361164322282721e-16,9.915,2.9443326562142393e-16
3.7649358067924674,7.821466300295109e-16,9.915,4.234321134124344e-16
4.037017258596556,9.48734171142995e-16,9.915,5.862814202618625e-16
4.328761281083059,1.1362892130120117e-15,9.915,7.849463810700207e-16
4.641588833612779,1.3448667155316665e-15,9.915,1.0200999984134352e-15
4.977023564332112,1.5741646242170109e-15,9.915,1.2911340946480743e-15
5.3366992312063095,1.8235349537953607e-15,9.915,1.596272629043335e-15
5.722367659350217,2.0920061480797364e-15,9.915,1.932756425854074e-15
6.1359072734131725,2.3783146480761924e-15,9.915,2.297067015370245e-15
6.5793322465756825,2.6809433662643085e-15,9.915,2.685161122444001e-15
7.054802310718645,2.9981647207527537e-15,9.915,3.0926939942628354e-15
7.56463327554629,3.3280859955194727e-15,9.915,3.515217142250373e-15
8.111308307896872,3.668695022412099e-15,9.915,3.948342688340241e-15
8.697490026177835,4.017904485952543e-15,9.915,4.387871594176124e-15
9.326033468832199,4.37359349532857e-15,9.915,4.8298865445476434e-15
10.0,4.733645417508486e-15,9.915,5.270812514685728e-15
10.722672220103231,5.095981297191214e-15,9.915,5.707449485875946e-15
11.497569953977356,5.4585884872792034e-15,9.915,6.136982598429705e-15
12.32846739442066,5.8195443687606245e-15,9.915,6.556975293243864e-15
13.219411484660288,6.17703524778862e-15,9.915,6.965350748287148e-15
14.174741629268048,6.5293706805043595e-15,9.915,7.360366294401303e-15
15.199110829529332,6.8749935950800925e-15,9.915,7.740584619948704e-15
16.297508346206453,7.212486659009587e-15,9.915,8.104844506116048e-15
17.475284000076847,7.540575381956485e-15,9.915,8.45223264455427e-15
18.73817422860385,7.858128455169622e-15,9.915,8.78205696719486e-15
20.09233002565048,8.164155812924839e-15,9.915,9.093821163360856e-15
21.544346900318846,8.457804865683407e-15,9.915,9.387199915777792e-15
23.101297000831604,8.738355305232557e-15,9.915,9.662014842574793e-15
24.770763559917114,9.00521282573102e-15,9.915,9.918211843525477e-15
26.560877829466868,9.257902047688281e-15,9.915,1.0155841004992758e-14
28.48035868435802,9.496058879854225e-15,9.915,1.0375040077562507e-14
30.538555088334157,9.719422510657079e-15,9.915,1.057602187326428e-14
32.74549162877728,9.927827188167025e-15,9.915,1.0759065129286654e-14
35.11191734215131,1.0121193925510659e-14,9.915,1.0924507830890592e-14
37.64935806792467,1.02995222552636e-14,9.915,1.1072741796393652e-14
40.37017258596554,1.0462882148167674e-14,9.915,1.1204207413294773e-14
43.28761281083057,1.0611406204121796e-14,9.915,1.1319387674152921e-14
46.41588833612782,1.0745282211640285e-14,9.915,1.141880104342357e-14
49.770235643321136,1.0864746149722933e-14,9.915,1.1502993123675965e-14
53.366992312063125,1.0970075665172694e-14,9.915,1.1572527475573942e-14
57.223676593502205,1.1061583987350639e-14,9.915,1.1627976217798723e-14
61.35907273413176,1.113961412652316e-14,9.915,1.1669911203045327e-14
65.79332246575683,1.1204533027703085e-14,9.915,1.1698896642614656e-14
70.54802310718645,1.1256725116933881e-14,9.915,1.171548397920847e-14
75.64633275546291,1.129658440573257e-14,9.915,1.1720209526394568e-14
81.11308307896873,1.1324504077015765e-14,9.915,1.1713594937729273e-14
86.97490026177834,1.1340862370086076e-14,9.915,1.1696150061553083e-14
93.26033468832199,1.1346003743698811e-14,9.915,1.1668377299650903e-14
