Te,rate,energy,K_druyv
0.1,1.5390531378917194e-76,14.0,0.0
0.10722672220103231,2.006463385431404e-72,14.0,0.0
0.11497569953977356,1.3844208334746481e-68,14.0,0.0
0.12328467394420663,5.277131690402692e-65,14.0,0.0
0.1321941148466029,1.1566401550244627e-61,14.0,0.0
0.1417474162926805,1.5131274636733211e-58,14.0,0.0
0.1519911082952934,1.2233307919748084e-55,14.0,0.0
0.16297508346206444,6.313921833901374e-53,14.0,0.0
0.17475284000076838,2.144308781396434e-50,14.0,0.0
0.1873817422860384,4.9291078664627647e-48,14.0,0.0
0.20092330025650468,7.873646255879453e-46,14.0,0.0
0.2154434690031884,8.957211874021248e-44,14.0,0.0
0.23101297000831597,7.425105754982672e-42,14.0,0.0
0.24770763559917108,4.581814311640646e-40,14.0,0.0
0.26560877829466867,2.1469553907748407e-38,14.0,1.206884846272e-312
0.2848035868435802,7.782516695759502e-37,14.0,3.088764719890201e-274
0.30538555088334157,2.2204627514551608e-35,14.0,7.93760086215773e-241
0.32745491628777285,5.067557264381192e-34,14.0,9.177706528765107e-212
0.3511191734215131,9.391078415083664e-33,14.0,1.7602817236688173e-186
0.3764935806792468,1.433112501032644e-31,14.0,1.742388394704302e-164
0.40370172585965547,1.8245930827019866e-30,14.0,2.3886199391415315e-145
0.43287612810830584,1.9618253001867617e-29,14.0,1.0701849807661805e-128
0.464158883361278,1.8017399537529427e-28,14.0,3.306360849385677e-114
0.49770235643321115,1.4284216410547806e-27,14.0,1.3483544513416737e-101
0.533669923120631,9.872742783203839e-27,14.0,1.2764764581099034e-90
0.5722367659350217,6.003882271546837e-26,14.0,4.583168047564366e-81
0.6135907273413173,3.2401635250514937e-25,14.0,9.56354340447296e-73
0.6579332246575681,1.5643000377230317e-24,14.0,1.680835825187656e-65
0.7054802310718644,6.806712876936298e-24,14.0,3.435550452602926e-59
0.7564633275546289,2.6881220200817865e-23,14.0,1.0810615953672945e-53
0.8111308307896873,9.698029405326555e-23,14.0,6.683514516891057e-49
0.8697490026177834,3.2157503282165677e-22,14.0,1.0035876876075166e-44
0.9326033468832199,9.856254711253297e-22,14.0,4.401327006700344e-41
1.0,2.807213848647119e-21,14.0,6.618037719228385e-38
1.072267222010323,7.466615820822367e-21,14.0,3.9224177198271313e-35
1.1497569953977356,1.8632243571064174e-20,14.0,1.0344895590931306e-32
1.232846739442066,4.3810154648554397e-20,14.0,1.3491141334678736e-30
1.3219411484660293,9.745489990643748e-20,14.0,9.535582138123571e-29
1.4174741629268055,2.058670183448452e-19,14.0,3.955842304434422e-27
1.5199110829529339,4.144295371121233e-19,14.0,1.0322822378011496e-25
1.6297508346206444,7.976658260282709e-19,14.0,1.7994373910130635e-24
1.7475284000076838,1.4724099575280625e-18,14.0,2.207551418311542e-23
1.8738174228603839,2.6140678064131102e-18,14.0,1.9942326557595873e-22
2.009233002565047,4.475541244032781e-18,14.0,1.3797111441004877e-21
2.1544346900318843,7.40794423052183e-18,14.0,7.564208144308901e-21
2.31012970008316,1.1881829203457916e-17,14.0,3.3852407438442104e-20
2.4770763559917115,1.8507335339061735e-17,14.0,1.2690981027388643e-19
2.656087782946687,2.805152145043608e-17,14.0,4.0763947083342892e-19
2.848035868435802,4.145118329596793e-17,14.0,1.1441520212818088e-18
3.0538555088334154,5.981967597081506e-17,14.0,2.8548333968828144e-18
3.2745491628777286,8.444663910267883e-17,14.0,6.4279950112566755e-18
3.511191734215131,1.1679001058641767e-16,14.0,1.3232375495054287e-17
3.7649358067924674,1.5846026052429874e-16,14.0,2.5188580422046876e-17
4.037017258596556,2.1119732823240523e-16,14.0,4.477859767537224e-17
4.328761281083059,2.7684125503606603e-16,14.0,7.498630411119318e-17
4.641588833612779,3.5729793649113854e-16,14.0,1.1917967004219995e-16
4.977023564332112,4.54501741487625e-16,14.0,1.8095778496229934e-16
5.3366992312063095,5.703769424223374e-16,14.0,2.6398846960565874e-16
5.722367659350217,7.067999562358649e-16,14.0,3.718558540696e-16
6.1359072734131725,8.655643009160477e-16,14.0,5.079271382467245e-16
6.5793322465756825,1.0483499213653318e-15,14.0,6.75240059932817e-16
7.054802310718645,1.2566981364043204e-15,14.0,8.764105605048579e-16
7.56463327554629,1.491992924387329e-15,14.0,1.1135623805763318e-15
8.111308307896872,1.7554486389813203e-15,14.0,1.3882829019706434e-15
8.697490026177835,2.048103592907599e-15,14.0,1.7016093648461325e-15
9.326033468832199,2.37081834739482e-15,14.0,2.05404639332371e-15
10.0,2.724277084329378e-15,14.0,2.4456118628107698e-15
10.722672220103231,3.108990187464379e-15,14.0,2.875906267970614e-15
11.497569953977356,3.5252961567303086e-15,14.0,3.344201637841507e-15
12.32846739442066,3.973361220707525e-15,14.0,3.849547432302486e-15
13.219411484660288,4.453175449942623e-15,14.0,4.390888970926536e-15
14.174741629268048,4.964544732685621e-15,14.0,4.967186850085654e-15
15.199110829529332,5.507078571062349e-15,14.0,5.577516137208656e-15
16.297508346206453,6.080174217330428e-15,14.0,6.221118530827084e-15
17.475284000076847,6.6829981481861424e-15,14.0,6.8973854084969445e-15
18.73817422860385,7.314466247212964e-15,14.0,7.605765654112126e-15
20.09233002565048,7.973224326873282e-15,14.0,8.345613552468043e-15
21.544346900318846,8.657630774223624e-15,14.0,9.116009717895154e-15
23.101297000831604,9.3657431485253e-15,14.0,9.915594602367474e-15
24.770763559917114,1.009531048776549e-14,14.0,1.0742447217983775e-14
26.560877829466868,1.0843772885083024e-14,14.0,1.1594024335440785e-14
28.48035868435802,1.1608269568957479e-14,14.0,1.2467154699232778e-14
30.538555088334157,1.2385656267600123e-14,14.0,1.335806750376101e-14
32.74549162877728,1.3172532079999229e-14,14.0,1.426243131934169e-14
35.11191734215131,1.3965275454651597e-14,14.0,1.5175389908345405e-14
37.64935806792467,1.4760088251105592e-14,14.0,1.609159877605091e-14
40.37017258596554,1.5553046299414054e-14,14.0,1.700528032399442e-14
43.28761281083057,1.6340154448607413e-14,14.0,1.7910317435272542e-14
46.41588833612782,1.7117403861269815e-14,14.0,1.8800394092521732e-14
49.770235643321136,1.7880829287277713e-14,14.0,1.9669174442846213e-14
53.366992312063125,1.862656420756137e-14,14.0,2.05104989766994e-14
57.223676593502205,1.9350891997138096e-14,14.0,2.1318574229710305e-14
61.35907273413176,2.005029149237463e-14,14.0,2.2088138532648714e-14
65.79332246575683,2.072147542655656e-14,14.0,2.28145935322261e-14
70.54802310718645,2.136142002697354e-14,14.0,2.3494093921927324e-14
75.64633275546291,2.1967383653567254e-14,14.0,2.4123586890450047e-14
81.11308307896873,2.253691186007969e-14,14.0,2.4700794196513096e-14
86.97490026177834,2.3067825982748776e-14,14.0,2.5224138898165275e-14
93.26033468832199,2.3558192707285938e-14,14.0,2.5692634694558404e-14
100.0,2.400627338806391e-14,14.0,2.610577030408039e-14
