Te,rate,energy,Kdruyv
0.1,1.7828119465619038e-58,9.917,0.0
0.10722672220103231,1.588501902380038e-55,9.917,0.0
0.11497569953977356,8.992589861006781e-53,9.917,0.0
0.12328467394420663,3.334392788053568e-50,9.917,0.0
0.1321941148466029,8.331209757974707e-48,9.917,0.0
0.1417474162926805,1.4402906104405427e-45,9.917,0.0
0.1519911082952934,1.7658733165669117e-43,9.917,0.0
0.16297508346206444,1.5712022109262365e-41,9.917,0.0
0.17475284000076838,1.0365557270346535e-39,9.917,0.0
0.1873817422860384,5.172989208062173e-38,9.917,4.965365e-318
0.20092330025650468,1.9897444339815313e-36,9.917,3.375947821497509e-279
0.2154434690031884,6.002552938281519e-35,9.917,2.606286508152394e-245
0.23101297000831597,1.4435375843294277e-33,9.917,1.0256824834580989e-215
0.24770763559917108,2.8097785092569823e-32,9.917,6.669215571780222e-190
0.26560877829466867,4.4897882086895115e-31,9.917,2.03988368529258e-167
0.2848035868435802,5.9680946410560674e-30,9.917,7.653276971331777e-148
0.30538555088334157,6.681335839543188e-29,9.917,8.315353587035854e-131
0.32745491628777285,6.372514062884394e-28,9.917,5.577800770676368e-116
0.3511191734215131,5.234126609390718e-27,9.917,4.477497825031173e-103
0.3764935806792468,3.739515604003882e-26,9.917,7.658046895334025e-92
0.40370172585965547,2.3457527622700264e-25,9.917,4.6110381663561565e-82
0.43287612810830584,1.303252185559842e-24,9.917,1.5131070215880194e-73
0.464158883361278,6.465188922605738e-24,9.917,3.958109479779557e-66
0.49770235643321115,2.885548212148425e-23,9.917,1.1490834127953168e-59
0.533669923120631,1.1669016668503402e-22,9.917,4.936676857170021e-54
0.5722367659350217,4.3038300884141845e-22,9.917,4.030352398594719e-49
0.6135907273413173,1.4566419583126248e-21,9.917,7.769014852260585e-45
0.6579332246575681,4.54996748653408e-21,9.917,4.2686290677097344e-41
0.7054802310718644,1.3186633081328279e-20,9.917,7.870623313677131e-38
0.7564633275546289,3.563568495355914e-20,9.917,5.610346592304716e-35
0.8111308307896873,9.021342053603755e-20,9.917,1.7480054011166275e-32
0.8697490026177834,2.148648317265362e-19,9.917,2.6482653106612997e-30
0.9326033468832199,4.834086613367086e-19,9.917,2.140399660874145e-28
1.0,1.031210759370877e-18,9.917,1.0004144802208365e-26
1.072267222010323,2.093070445892616e-18,9.917,2.900991231653977e-25
1.1497569953977356,4.055470467573022e-18,9.917,5.5489549707341334e-24
1.232846739442066,7.523889641423879e-18,9.917,7.385525778684916e-23
1.3219411484660293,1.3403615157689884e-17,9.917,7.166082606535221e-22
1.4174741629268055,2.2989648908011345e-17,9.917,5.278644187023237e-21
1.5199110829529339,3.8058324393068183e-17,9.917,3.057871929866306e-20
1.6297508346206444,6.095072020322581e-17,9.917,1.4364116819177935e-19
1.7475284000076838,9.463646204639468e-17,9.917,5.618909126622258e-19
1.8738174228603839,1.4274649833837577e-16,9.917,1.8731002773417317e-18
2.009233002565047,2.095651086395443e-16,9.917,5.4287874441868506e-18
2.1544346900318843,2.99974641837949e-16,9.917,1.3919616816784125e-17
2.31012970008316,4.193508717493694e-16,9.917,3.205480730378051e-17
2.4770763559917115,5.734117851087865e-16,9.917,6.717436095484409e-17
2.656087782946687,7.680273832612825e-16,9.917,1.2957539687249038e-16
2.848035868435802,1.0090020376013133e-15,9.917,2.323680375131952e-16
3.0538555088334154,1.301843602288339e-15,9.917,3.907872548930562e-16
3.2745491628777286,1.6515345924378965e-15,9.917,6.210317344870504e-16
3.511191734215131,2.06232025865683e-15,9.917,9.38822994113872e-16
3.7649358067924674,2.5375265193810817e-15,9.917,1.3579370386367536e-15
4.037017258596556,3.07941779625432e-15,9.917,1.888946817580632e-15
4.328761281083059,3.689101262917274e-15,9.917,2.538344678415846e-15
4.641588833612779,4.366480302928196e-15,9.917,3.3081213120232787e-15
4.977023564332112,5.110256467402453e-15,9.917,4.195790767652732e-15
5.3366992312063095,5.917976225873411e-15,9.917,5.1947882099174596e-15
5.722367659350217,6.786116502987046e-15,9.917,6.295133708286464e-15
6.1359072734131725,7.71020146711799e-15,9.917,7.484247622327544e-15
6.5793322465756825,8.684942268786422e-15,9.917,8.747812982047091e-15
7.054802310718645,9.704391331428673e-15,9.917,1.007059982857262e-14
7.56463327554629,1.0762103247284365e-14,9.917,1.1437190356536393e-14
8.111308307896872,1.1851295182558907e-14,9.917,1.2832568580606314e-14
8.697490026177835,1.2965000806440031e-14,9.917,1.42425616350318e-14
9.326033468832199,1.4096213000537609e-14,9.917,1.5654139277750936e-14
10.0,1.5238011872743633e-14,9.917,1.705559162071763e-14
10.722672220103231,1.638367580985362e-14,9.917,1.8436611504336462e-14
11.497569953977356,1.752677439728027e-14,9.917,1.9788307736452292e-14
12.32846739442066,1.8661242973947376e-14,9.917,2.1103170519145017e-14
13.219411484660288,1.9781439356797425e-14,9.917,2.2375003609863666e-14
14.174741629268048,2.0882183858517323e-14,9.917,2.3598831991172824e-14
15.199110829529332,2.1958784142083994e-14,9.917,2.477079091313628e-14
16.297508346206453,2.3007046722570197e-14,9.917,2.5888002168353908e-14
17.475284000076847,2.4023277060928507e-14,9.917,2.6948444788377975e-14
18.73817422860385,2.500427021862324e-14,9.917,2.795082799779377e-14
20.09233002565048,2.5947293978418915e-14,9.917,2.889447308875514e-14
21.544346900318846,2.68500662067422e-14,9.917,2.977920816322006e-14
23.101297000831604,2.7710728056715386e-14,9.917,3.060527667267374e-14
24.770763559917114,2.8527814406464294e-14,9.917,3.1373258603216587e-14
26.560877829466868,2.930022271102821e-14,9.917,3.208400251254237e-14
28.48035868435802,3.002718123238577e-14,9.917,3.273856709723731e-14
30.538555088334157,3.0708217412448965e-14,9.917,3.3338171793504066e-14
32.74549162877728,3.134312697709655e-14,9.917,3.388415641424001e-14
35.11191734215131,3.193194421084105e-14,9.917,3.437794971186382e-14
37.64935806792467,3.247491372337199e-14,9.917,3.48210461192122e-14
40.37017258596554,3.297246393893685e-14,9.917,3.521498906511297e-14
43.28761281083057,3.3425182470887684e-14,9.917,3.556135859444285e-14
46.41588833612782,3.383379348485427e-14,9.917,3.5861760938480086e-14
49.770235643321136,3.419913708530473e-14,9.917,3.6117818314198335e-14
53.366992312063125,3.452215065096112e-14,9.917,3.633115826453729e-14
57.223676593502205,3.4803851849879847e-14,9.917,3.650340271078663e-14
61.35907273413176,3.504532272901602e-14,9.917,3.663615723819383e-14
65.79332246575683,3.524769374468438e-14,9.917,3.673100115430531e-14
70.54802310718645,3.541212586838949e-14,9.917,3.678947894304466e-14
75.64633275546291,3.553978804564669e-14,9.917,3.681309400797931e-14
81.11308307896873,3.563182651591011e-14,9.917,3.6803305819805126e-14
86.97490026177834,3.5689322169730107e-14,9.917,3.676153148728477e-14
93.26033468832199,3.571323264674599e-14,9.917,3.6689152250524175e-14
100.0,3.570431761798932e-14,9.917,3.658752440818015e-14
