Te,rate,energy,Kdruyv
0.1,2.5905658785518053e-51,8.315,0.0
0.10722672220103231,7.101777515403621e-49,8.315,0.0
0.11497569953977356,1.335723678496992e-46,8.315,0.0
0.12328467394420663,1.7684353974783693e-44,8.315,0.0
0.1321941148466029,1.6879947294923024e-42,8.315,0.0
0.1417474162926805,1.1877824999538218e-40,8.315,0.0
0.1519911082952934,6.290639864305375e-39,8.315,0.0
0.16297508346206444,2.556401538797575e-37,8.315,1.3906317320191804e-293
0.17475284000076838,8.115973125315575e-36,8.315,1.433722393562801e-257
0.1873817422860384,2.0468475003731066e-34,8.315,3.1294092719996356e-226
0.20092330025650468,4.164967373264817e-33,8.315,5.750458764642622e-199
0.2154434690031884,6.937349879430839e-32,8.315,2.994586374070577e-175
0.23101297000831597,9.586636998194837e-31,8.315,1.277795064022961e-154
0.24770763559917108,1.1129008784445382e-29,8.315,1.1276374479149528e-136
0.26560877829466867,1.0980278354862391e-28,8.315,4.6081791932479455e-121
0.2848035868435802,9.30758529660422e-28,8.315,1.7580948124927226e-107
0.30538555088334157,6.847083655874661e-27,8.315,1.1519901169952919e-95
0.32745491628777285,4.412659592816976e-26,8.315,2.2022750875105727e-85
0.3511191734215131,2.51321135138817e-25,8.315,1.9468843582968674e-76
0.3764935806792468,1.2754007002825936e-24,8.315,1.1878259014907014e-68
0.40370172585965547,5.811330479292037e-24,8.315,7.0849169941653575e-62
0.43287612810830584,2.3945418666603438e-23,8.315,5.593028933488799e-56
0.464158883361278,8.982433030932855e-23,8.315,7.60670499992957e-51
0.49770235643321115,3.086818859687138e-22,8.315,2.2423120700825203e-46
0.533669923120631,9.775108569441176e-22,8.315,1.7499203256257505e-42
0.5722367659350217,2.8682111927595743e-21,8.315,4.304093331314252e-39
0.6135907273413173,7.838156568410928e-21,8.315,3.8841459377171714e-36
0.6579332246575681,2.0045730543341787e-20,8.315,1.468202783986573e-33
0.7054802310718644,4.819401163403168e-20,8.315,2.608723640152079e-31
0.7564633275546289,1.0938547332241513e-19,8.315,2.4083473996596e-29
0.8111308307896873,2.3530711733918763e-19,8.315,1.2599111741709817e-27
0.8697490026177834,4.815272192375528e-19,8.315,4.0256826287195177e-26
0.9326033468832199,9.406171466036087e-19,8.315,8.380431063930958e-25
1.0,1.75957362092505e-18,8.315,1.2015809146325448e-23
1.072267222010323,3.161598081077601e-18,8.315,1.244683565792834e-22
1.1497569953977356,5.4717212883524096e-18,8.315,9.706705894620778e-22
1.232846739442066,9.145114264281242e-18,8.315,5.905585282809222e-21
1.3219411484660293,1.479630038018811e-17,8.315,2.8912435351509426e-20
1.4174741629268055,2.3226984481862245e-17,8.315,1.17031114641655e-19
1.5199110829529339,3.544993417296607e-17,8.315,4.010976152058889e-19
1.6297508346206444,5.2706342176955244e-17,8.315,1.1886122476823569e-18
1.7475284000076838,7.647437898652847e-17,8.315,3.1024489636850245e-18
1.8738174228603839,1.0846717953417154e-16,8.315,7.249675341950274e-18
2.009233002565047,1.506192289735731e-16,8.315,1.538499441308079e-17
2.1544346900318843,2.050609328001699e-16,8.315,3.002496194971207e-17
2.31012970008316,2.740819827400604e-16,8.315,5.447779330559367e-17
2.4770763559917115,3.600848786901244e-16,8.315,9.277490869207995e-17
2.656087782946687,4.655305741501139e-16,8.315,1.495139458098811e-16
2.848035868435802,5.928786375551262e-16,8.315,2.2963951084894115e-16
3.0538555088334154,7.445245484711764e-16,8.315,3.3819392014312103e-16
3.2745491628777286,9.227367812021772e-16,8.315,4.800675685128062e-16
3.511191734215131,1.129596191860376e-15,8.315,6.597715637498464e-16
3.7649358067924674,1.3669399537346694e-15,8.315,8.81247375234374e-16
4.037017258596556,1.636311922207156e-15,8.315,1.1477211639101985e-15
4.328761281083059,1.93892089786121e-15,8.315,1.4616046451159847e-15
4.641588833612779,2.275607832961673e-15,8.315,1.8244398902289477e-15
4.977023564332112,2.6468226199531707e-15,8.315,2.2368826071257455e-15
5.3366992312063095,3.052610725753363e-15,8.315,2.6987173417907307e-15
5.722367659350217,3.492609595187503e-15,8.315,3.2088984769913772e-15
6.1359072734131725,3.966054436485116e-15,8.315,3.7656119739679906e-15
6.5793322465756825,4.471792716455953e-15,8.315,4.366353281956235e-15
7.054802310718645,5.00830643352742e-15,8.315,5.008016052284638e-15
7.56463327554629,5.573741012541396e-15,8.315,5.6869849529530636e-15
8.111308307896872,6.1659394924906945e-15,8.315,6.399225939613926e-15
8.697490026177835,6.782480575811712e-15,8.315,7.140370449853589e-15
9.326033468832199,7.420719089837625e-15,8.315,7.905795519030011e-15
10.0,8.07782748253286e-15,8.315,8.690706405439454e-15
10.722672220103231,8.750837128830299e-15,8.315,9.490228061744284e-15
11.497569953977356,9.43667844287652e-15,8.315,1.0299505682080646e-14
12.32846739442066,1.0132219049332014e-14,8.315,1.1113805927136619e-14
13.219411484660288,1.0834299533621973e-14,8.315,1.1928604779995306e-14
14.174741629268048,1.1539766536686458e-14,8.315,1.2739648940962957e-14
15.199110829529332,1.2245503157940373e-14,8.315,1.3542984660411486e-14
16.297508346206453,1.2948456761478019e-14,8.315,1.4334957121114564e-14
17.475284000076847,1.3645664335931125e-14,8.315,1.5112190603165344e-14
18.73817422860385,1.4334275541249058e-14,8.315,1.5871562105993985e-14
20.09233002565048,1.5011573502382822e-14,8.315,1.661017875995138e-14
21.544346900318846,1.5674993307263164e-14,8.315,1.7325364251715117e-14
23.101297000831604,1.6322138066458916e-14,8.315,1.8014654652721507e-14
24.770763559917114,1.6950792324120122e-14,8.315,1.8675801891245327e-14
26.560877829466868,1.7558932594417916e-14,8.315,1.9306783890912654e-14
28.48035868435802,1.8144734840536866e-14,8.315,1.9905822000911616e-14
30.538555088334157,1.870657880506306e-14,8.315,2.0471406042069967e-14
32.74549162877728,1.9243049220527996e-14,8.315,2.1002324107321456e-14
35.11191734215131,1.9752934051523364e-14,8.315,2.1497689796975888e-14
37.64935806792467,2.023522002297471e-14,8.315,2.195695681276957e-14
40.37017258596554,2.0689085759174595e-14,8.315,2.237991211118114e-14
43.28761281083057,2.111389289006284e-14,8.315,2.2766644381438348e-14
46.41588833612782,2.1509175472728903e-14,8.315,2.311749228427902e-14
